2232181.693682375, 12, 1.8764104532E10
2610175.080487511, 53, 4.8552432836E10
4380, 5627853.298105771
4380000, 39570.92524821728

First population front
Czas podrozy, Zarobek, Stworzony w generacji
1963761.866990306, 259824, 1
2001970.3141539649, 262997, 1
2016853.690890789, 264453, 0
2046256.4581129774, 266028, 1
2139238.077893827, 268021, 1
2159771.7142606974, 269445, 1
2171098.9569832375, 270154, 0
2181600.4721840643, 273216, 1
2232872.230453245, 275920, 1
2291599.8928570333, 275941, 1
2319264.3077634755, 277198, 1
2393908.039024162, 279356, 1

Middle population front

Last population front
Czas podrozy, Zarobek, Stworzony w generacji
1521396.4738482002, 259570, 297
1521508.9514784839, 259599, 295
1535740.7818294668, 259783, 298
1551997.1282892693, 260719, 278
1559380.2294170333, 260909, 261
1568208.3199410134, 263420, 283
1585892.0314034768, 263814, 253
1587571.6614877896, 265338, 280
1598882.2678310948, 266665, 297
1613095.5389889916, 267049, 279
1617091.8300437948, 267385, 281
1622564.7142516063, 268885, 293
1625378.4677140203, 268906, 258
1635503.1001439437, 269836, 258
1646807.9405501543, 283212, 272
1648364.2658244062, 286714, 256
1656473.6326958737, 287302, 261
1656811.70159726, 288983, 243
1658504.0039352577, 289602, 228
1693652.0551002892, 290086, 253
1696968.2979905927, 290813, 290
1701718.2185812155, 291329, 254
1702404.7238169236, 291714, 299
1703771.4165439238, 291933, 246
1717139.9665804661, 292412, 249
1721196.1425899814, 293157, 294
1738799.587948478, 293332, 248
1750207.8457899608, 293608, 263
1756803.279489078, 293898, 290
1761662.6777031878, 294726, 290
1791757.8067083587, 295113, 267
1797770.4935615426, 295426, 293
1804622.6563778205, 296203, 291
1825696.521694772, 296240, 271
1825913.2811161808, 296552, 279
1838804.1214919498, 296707, 283
1842239.1169693181, 297157, 271
1850809.0245825946, 297979, 279
1891854.7912938863, 298281, 288
1893206.3469608424, 298890, 279
1894739.8177055737, 299916, 281
1927038.1621752514, 300120, 279
1940747.5020511386, 301221, 290
1970075.9276055526, 301840, 294
2008026.2730721117, 302109, 283
2026049.1445136867, 303031, 292
2049092.965161034, 303261, 288
2071712.2631369173, 303321, 299
2092286.0069334034, 303807, 295
2103068.063998113, 304258, 277
2208783.008872655, 304390, 264
2209305.9399160347, 304760, 297
2219672.2068502596, 304814, 298

