46340.95000105199, 14, 3.128013388E9
46340.95000105199, 19, 3.832339262E9

First population front
Czas podrozy, Zarobek, Stworzony w generacji
49649.56990504228, 1062228, 1
49869.7986642318, 1067452, 1
51121.37894117382, 1068714, 1
51199.624399103144, 1068839, 0
51383.57903638759, 1070272, 1
51819.838846772676, 1070866, 0
52103.47500489312, 1072124, 0
52758.275340124994, 1072504, 1
52880.70808798711, 1073864, 1
53456.52895622695, 1076534, 1
53902.84936136099, 1078251, 1

Middle population front

Last population front
Czas podrozy, Zarobek, Stworzony w generacji
45426.04509624934, 1036869, 354
45480.05220502592, 1037980, 492
45605.996688239975, 1041020, 377
45626.36444241343, 1049231, 449
46168.59299369234, 1050642, 458
46552.74254637455, 1051175, 154
46810.61065343694, 1051375, 497
46939.727718538765, 1053244, 400
47044.08605363964, 1055111, 338
47150.35451958616, 1055766, 178
47157.58899630261, 1058102, 295
47217.997814710834, 1059497, 462
47319.52467273047, 1059863, 453
47423.33513998115, 1062443, 287
47630.25764076616, 1063650, 495
47819.55796464142, 1066837, 220
48461.30021544299, 1070175, 417
48776.46105372522, 1073545, 219
49007.28395055142, 1074868, 432
49622.6725381861, 1075756, 53
49855.960770632686, 1078318, 425
49982.633000648646, 1079829, 399
50555.557740980956, 1080306, 365
50849.270033725756, 1080688, 204
50995.52569040788, 1080858, 433
51442.904483107224, 1081348, 435
51708.57164151042, 1081526, 163
51953.970288139666, 1081860, 236
51973.527136458964, 1084291, 291
53006.59542966623, 1084827, 445
53402.338562421515, 1085015, 498
53665.813589418496, 1085067, 404
53694.079368053004, 1085534, 337
53789.09129683374, 1086989, 488
54820.23865522121, 1087857, 489
55586.63178938505, 1088036, 423
55587.766717863145, 1089180, 461
55838.55286497652, 1089613, 494
56143.765908189765, 1091083, 439

